URL	Label Comment
kgs.uky.edu/kgsweb/DataSearching/Coal/Borehole/*	_cse_d6ieoekzj1u	
kgs.uky.edu/kgsweb/DataSearching/Coal/KCRIS/*	_cse_d6ieoekzj1u	
kgs.uky.edu/kgsweb/DataSearching/CSLib/*	_cse_d6ieoekzj1u	
www.nbmg.unr.edu/Specimens/*	_cse_d6ieoekzj1u	
www2.des.state.nh.us/DESOnestop/*	_cse_d6ieoekzj1u	
www.nogcc.ne.gov/olNOGCCOnlineGIS/*	_cse_d6ieoekzj1u	
occpermit.com/wellbrowse/*	_cse_d6ieoekzj1u	
www.state.nj.us/dep/njgs/geodata/*	_cse_d6ieoekzj1u	
https://www.dmr.nd.gov/oilgas/*	_cse_d6ieoekzj1u	
https://www.dmr.nd.gov/ndgs/Offices/Core_Library/*	_cse_d6ieoekzj1u	
https://www.dmr.nd.gov/ndgs/Circulars/*	_cse_d6ieoekzj1u	
esogis.nysm.nysed.gov/esogis/index.cfm/*	_cse_d6ieoekzj1u	
www.energylibrariesonline.com/*	_cse_d6ieoekzj1u	
www.ocgs.org/*	_cse_d6ieoekzj1u	
geology.utah.gov/emp/corecenter/*	_cse_d6ieoekzj1u	
geoinfo.nmt.edu/libraries/subsurface/*	_cse_d6ieoekzj1u	
geoinfo.nmt.edu/resources/minerals/*	_cse_d6ieoekzj1u	
geoinfo.nmt.edu/libraries/nure/*	_cse_d6ieoekzj1u	
www.sddenr.net/waterdb/*	_cse_d6ieoekzj1u	
www.sddenr.net/lithdb/*	_cse_d6ieoekzj1u	
www.sddenr.net/sdoil/*	_cse_d6ieoekzj1u	
www.sddenr.net/core/*	_cse_d6ieoekzj1u	
www.beg.utexas.edu/info/*	_cse_d6ieoekzj1u	
www.wvgs.wvnet.edu/www/services/*	_cse_d6ieoekzj1u	
wogcc.state.wy.us/*	_cse_d6ieoekzj1u	
www.dggs.alaska.gov/gmc/*	_cse_d6ieoekzj1u	
www.geology.ar.gov/catalog/*	_cse_d6ieoekzj1u	
www.ct.gov/deep/cwp/*	_cse_d6ieoekzj1u	
www.dgs.udel.edu/projects/outer-continental-shelf-core-and-sample-repository/*	_cse_d6ieoekzj1u	
www.kgs.ku.edu/Magellan/CoreLibrary/*	_cse_d6ieoekzj1u	
www.uky.edu/KGS/core_library/*	_cse_d6ieoekzj1u	
www.maine.gov/dacf/mgs/explore/mining/core/*	_cse_d6ieoekzj1u	
wsh060.westhills.wmich.edu/MGRRE/*	_cse_d6ieoekzj1u	
www2.ohiodnr.com/geosurvey/core-samples/core-sample-repository/*	_cse_d6ieoekzj1u	
www.dnr.sc.gov/geology/*	_cse_d6ieoekzj1u	
igor.beg.utexas.edu/crc2/*	_cse_d6ieoekzj1u	
www.beg.utexas.edu/info/*	_cse_d6ieoekzj1u	
www.beg.utexas.edu/info/*	_cse_d6ieoekzj1u	
www.beg.utexas.edu/info/*	_cse_d6ieoekzj1u	
www.dnr.mo.gov/geology/geosrv/geores/*	_cse_d6ieoekzj1u	
www.lgs.lsu.edu/deploy/content/PUBLI/*	_cse_d6ieoekzj1u	
www.wellsample.com/*	_cse_d6ieoekzj1u	
www.kochi-core.jp/en/iodp-curation/*	_cse_d6ieoekzj1u	
iodp.tamu.edu/curation/gcr/*	_cse_d6ieoekzj1u	
www.marum.de/en/*	_cse_d6ieoekzj1u	
www.gso.uri.edu/marine-geological-samples-laboratory/*	_cse_d6ieoekzj1u	
core-repository.coas.oregonstate.edu/*	_cse_d6ieoekzj1u	
www.ngdc.noaa.gov/mgg/curator/*	_cse_d6ieoekzj1u	
walrus.wr.usgs.gov/infobank/programs/html/facilities/mp/15.1/*	_cse_d6ieoekzj1u	
www.ngdc.noaa.gov/mgg/curator/*	_cse_d6ieoekzj1u	
coastal.er.usgs.gov/lased/*	_cse_d6ieoekzj1u	
www.ngdc.noaa.gov/mgg/curator/*	_cse_d6ieoekzj1u	
www.marine-geo.org/*	_cse_d6ieoekzj1u	
walrus.wr.usgs.gov/infobank/*	_cse_d6ieoekzj1u	
www.ngdc.noaa.gov/mgg/curator/*	_cse_d6ieoekzj1u	
linked.seabedsamples.org/*	_cse_d6ieoekzj1u	
iodp.org/*	_cse_d6ieoekzj1u	
www.ngdc.noaa.gov/mgg/*	_cse_d6ieoekzj1u	
www.deepseadrilling.org/*	_cse_d6ieoekzj1u	
www.rvdata.us/*	_cse_d6ieoekzj1u	
www-odp.tamu.edu/database/*	_cse_d6ieoekzj1u	
brg.ldeo.columbia.edu/logdb/*	_cse_d6ieoekzj1u	
https://repository.nced.umn.edu/*	_cse_d6ieoekzj1u	
www.sead.se/*	_cse_d6ieoekzj1u	
www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/survey/partnership/?cid=nrcs142p2_054213#00/*	_cse_d6ieoekzj1u	
websoilsurvey.nrcs.usda.gov/app/*	_cse_d6ieoekzj1u	
geology.utah.gov/databases/landslide-history/*	_cse_d6ieoekzj1u	
www.cocorahs.org/*	_cse_d6ieoekzj1u	
www.ngdc.noaa.gov/*	_cse_d6ieoekzj1u	
www.sepmstrata.org/*	_cse_d6ieoekzj1u	
energy.usgs.gov/OilGas/AssessmentsData/*	_cse_d6ieoekzj1u	
igor.beg.utexas.edu/crc2/*	_cse_d6ieoekzj1u	
stratigraphy.org/index.php/*	_cse_d6ieoekzj1u	
www.earthscope.org/*	_cse_d6ieoekzj1u	
www.marine-geo.org/portals/geoprisms/*	_cse_d6ieoekzj1u	
www.netl.doe.gov/technologies/carbon_seq/natcarb/*	_cse_d6ieoekzj1u	
geothermaldata.org/*	_cse_d6ieoekzj1u	
www.seismicexchange.com/*	_cse_d6ieoekzj1u	
unconventionalenergyresources.org/*	_cse_d6ieoekzj1u	
www.slb.com/services/*	_cse_d6ieoekzj1u	
www.paleosoc.org/shortcourse2010/*	_cse_d6ieoekzj1u	
serc.carleton.edu/eet/cores/*	_cse_d6ieoekzj1u	
rimg.geoscienceworld.org/content/58/1/275.extract /*	_cse_d6ieoekzj1u	
matstrat.princeton.edu/*	_cse_d6ieoekzj1u	
www.opendtect.org/*	_cse_d6ieoekzj1u	
cran.r-project.org/web/packages/stratigraph/*	_cse_d6ieoekzj1u	
intra.museum.state.il.us/pub/grimm/tilia/*	_cse_d6ieoekzj1u	
www.staff.ncl.ac.uk/staff/stephen.juggins/software/*	_cse_d6ieoekzj1u	
www.kpal.co.uk/*	_cse_d6ieoekzj1u	
csdms.colorado.edu/wiki/Model:SEDPAK/*	_cse_d6ieoekzj1u	
www.slb.com/services/characterization/data_utilities/*	_cse_d6ieoekzj1u	
geofrat.egi.utah.edu/*	_cse_d6ieoekzj1u	
www.lmkr.com/geographix/*	_cse_d6ieoekzj1u	
www.ihs.com/products/oil-gas-information/analysis-software/kingdom-seismic-interpretation/*	_cse_d6ieoekzj1u	
www.neuralog.com/pages/*	_cse_d6ieoekzj1u	
forums.esri.com/*	_cse_d6ieoekzj1u	
www.software.slb.com/products/platform/Pages/*	_cse_d6ieoekzj1u	
gpwg.org/*	_cse_d6ieoekzj1u	
www.efloras.org/*	_cse_d6ieoekzj1u	
